"","pcktsCount","pcktsLost","dteTime"
"131",1097.83,5.57,2017-01-13 10:00:00
"132",1058.45,7.23,2017-01-13 11:00:00
"133",1057.5,9.52,2017-01-13 12:00:00
"134",836.12,11.62,2017-01-13 13:00:00
"135",828.19,12.04,2017-01-13 14:00:00
"136",888.09,14.89,2017-01-13 15:00:00
"137",1135.9,11.88,2017-01-13 16:00:00
"138",909.25,7.97,2017-01-13 17:00:00
"139",822.86,8.98,2017-01-13 18:00:00
"140",900.83,7.54,2017-01-13 19:00:00
"141",822.93,9.65,2017-01-13 20:00:00
"142",1058.88,6.29,2017-01-13 21:00:00
"143",1064.9,7.15,2017-01-13 22:00:00
"144",799.85,8.62,2017-01-13 23:00:00
"145",993.52,6.35,2017-01-14 00:00:00
"146",1043.37,7.55,2017-01-14 01:00:00
"147",1047.01,6.72,2017-01-14 02:00:00
"148",920.07,8.35,2017-01-14 03:00:00
"149",1038.87,5.39,2017-01-14 04:00:00
"150",1128.17,3.87,2017-01-14 05:00:00
"151",1028.23,8.03,2017-01-14 06:00:00
"152",912.86,4.26,2017-01-14 07:00:00
"153",1000.49,3.53,2017-01-14 08:00:00
"154",1087.75,2.81,2017-01-14 09:00:00
"155",1050.88,4.26,2017-01-14 10:00:00
"156",1132.57,5.89,2017-01-14 11:00:00
"157",992.62,8.29,2017-01-14 12:00:00
"158",1088.68,13.15,2017-01-14 13:00:00
"159",1017.75,6.95,2017-01-14 14:00:00
"160",928.49,8.01,2017-01-14 15:00:00
"161",1088.6,5.78,2017-01-14 16:00:00
"162",1053.18,7.27,2017-01-14 17:00:00
"163",1061.63,7.51,2017-01-14 18:00:00
"164",810.75,8.27,2017-01-14 19:00:00
"165",910.05,9.72,2017-01-14 20:00:00
"166",1161.22,7.89,2017-01-14 21:00:00
"167",1009.57,4.82,2017-01-14 22:00:00
"168",897.52,7.68,2017-01-14 23:00:00
"169",947.83,4.7,2017-01-15 00:00:00
"170",1007.84,5.31,2017-01-15 01:00:00
"171",1131.11,8.48,2017-01-15 02:00:00
"172",872.13,5.58,2017-01-15 03:00:00
"173",967.84,4.86,2017-01-15 04:00:00
"174",1039.24,7.46,2017-01-15 05:00:00
"175",1148.03,7.54,2017-01-15 06:00:00
"176",847.7,8.27,2017-01-15 07:00:00
"177",840.49,7.18,2017-01-15 08:00:00
"178",864.53,5.1,2017-01-15 09:00:00
"179",828.82,4.83,2017-01-15 10:00:00
"180",860.41,7.5,2017-01-15 11:00:00
"181",1056.71,11.63,2017-01-15 12:00:00
"182",849.8,9.16,2017-01-15 13:00:00
"183",1147.16,8.37,2017-01-15 14:00:00
